exercicio,caso,n,tempo_ns
3,m,420000,570.0
3,p,420000,1473380.0
3,m,430000,520.0
3,p,430000,1400670.0
3,m,440000,600.0
3,p,440000,1438200.0
3,m,450000,510.0
3,p,450000,1469140.0
3,m,460000,530.0
3,p,460000,1475370.0
3,m,470000,560.0
3,p,470000,1518780.0
3,m,480000,510.0
3,p,480000,1474920.0
3,m,490000,490.0
3,p,490000,1481400.0
3,m,500000,510.0
3,p,500000,1680040.0
4,m,0,130.0
4,p,0,140.0
4,m,10000,440.0
4,p,10000,358260.0
4,m,20000,460.0
4,p,20000,726950.0
4,m,30000,370.0
4,p,30000,1103750.0
4,m,40000,760.0
4,p,40000,1380560.0
4,m,50000,440.0
4,m,60000,400.0
4,m,70000,450.0
4,m,80000,530.0
4,m,90000,430.0
4,m,100000,530.0
4,m,110000,450.0
4,m,120000,500.0
4,m,130000,450.0
4,m,140000,540.0
4,m,150000,490.0
4,m,160000,550.0
4,m,170000,440.0
4,m,180000,480.0
4,m,190000,500.0
4,m,200000,470.0
4,m,210000,480.0
4,m,220000,510.0
4,m,230000,540.0
4,m,240000,450.0
4,m,250000,430.0
4,m,260000,450.0
4,m,270000,400.0
4,m,280000,480.0
4,m,290000,460.0
4,m,300000,440.0
4,m,310000,420.0
4,m,320000,470.0
4,m,330000,530.0
4,m,340000,410.0
4,m,350000,520.0
4,m,360000,490.0
4,m,370000,470.0
4,m,380000,430.0
4,m,390000,500.0
4,m,400000,470.0
4,m,410000,510.0
4,m,420000,460.0
4,m,430000,450.0
4,m,440000,490.0
4,m,450000,430.0
4,m,460000,430.0
4,m,470000,450.0
4,m,480000,430.0
4,m,490000,470.0
4,m,500000,460.0
5,m,0,200.0
5,p,0,160.0
5,m,10000,290.0
5,p,10000,400.0
5,m,20000,420.0
5,p,20000,400.0
5,m,30000,470.0
5,p,30000,670.0
5,m,40000,470.0
5,p,40000,880.0
5,m,50000,460.0
5,p,50000,660.0
5,m,60000,480.0
5,p,60000,720.0
5,m,70000,470.0
5,p,70000,860.0
5,m,80000,440.0
5,p,80000,810.0
5,m,90000,490.0
5,p,90000,890.0
5,m,100000,560.0
5,p,100000,840.0
5,m,110000,520.0
5,p,110000,940.0
5,m,120000,470.0
5,p,120000,1040.0
5,m,130000,530.0
5,p,130000,870.0
5,m,140000,480.0
5,p,140000,990.0
5,m,150000,540.0
5,p,150000,930.0
5,m,160000,490.0
5,p,160000,980.0
5,m,170000,590.0
5,p,170000,1100.0
5,m,180000,480.0
5,p,180000,900.0
5,m,190000,520.0
5,p,190000,1010.0
5,m,200000,480.0
5,p,200000,1010.0
5,m,210000,470.0
5,p,210000,1210.0
5,m,220000,520.0
5,p,220000,1170.0
5,m,230000,510.0
5,p,230000,1060.0
5,m,240000,530.0
5,p,240000,920.0
5,m,250000,590.0
5,p,250000,1060.0
5,m,260000,540.0
5,p,260000,980.0
5,m,270000,590.0
5,p,270000,1230.0
5,m,280000,620.0
5,p,280000,990.0
5,m,290000,460.0
5,p,290000,1130.0
5,m,300000,550.0
5,p,300000,940.0
5,m,310000,500.0
5,p,310000,900.0
5,m,320000,490.0
5,p,320000,970.0
5,m,330000,450.0
5,p,330000,1070.0
5,m,340000,460.0
5,p,340000,1030.0
5,m,350000,540.0
5,p,350000,1180.0
5,m,360000,520.0
5,p,360000,960.0
5,m,370000,520.0
5,p,370000,960.0
5,m,380000,510.0
5,p,380000,1150.0
5,m,390000,500.0
5,p,390000,860.0
5,m,400000,470.0
5,p,400000,1090.0
5,m,410000,470.0
5,p,410000,1480.0
5,m,420000,530.0
5,p,420000,980.0
5,m,430000,510.0
